item,itemLabel
http://www.wikidata.org/entity/Q54870,Star Wars Battlefront: Elite Squadron
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game
http://www.wikidata.org/entity/Q55217,Star Wars Episode I: Racer
http://www.wikidata.org/entity/Q55219,Star Wars: Bounty Hunter
http://www.wikidata.org/entity/Q55223,Star Wars: Racer Arcade
http://www.wikidata.org/entity/Q55225,Star Wars: Starfighter
http://www.wikidata.org/entity/Q55227,Star Wars: Super Bombad Racing
http://www.wikidata.org/entity/Q55228,Lego Star Wars III: The Clone Wars
http://www.wikidata.org/entity/Q55229,Star Wars: Jedi Starfighter
http://www.wikidata.org/entity/Q55232,Star Wars: The Clone Wars
http://www.wikidata.org/entity/Q55237,Star Wars: Republic Commando: Order 66
http://www.wikidata.org/entity/Q55239,Lego Star Wars II: The Original Trilogy
http://www.wikidata.org/entity/Q55246,Lego Star Wars II Mobile
http://www.wikidata.org/entity/Q55248,Star Wars Trilogy Arcade
http://www.wikidata.org/entity/Q55251,Star Wars: Behind the Magic
http://www.wikidata.org/entity/Q55253,Star Wars: Flight of the Falcon
http://www.wikidata.org/entity/Q55254,Star Wars: Force Commander
http://www.wikidata.org/entity/Q55257,Star Wars: Masters of Teräs Käsi
http://www.wikidata.org/entity/Q55259,Star Wars: Rebel Assault
http://www.wikidata.org/entity/Q55263,Star Wars: Shadows of the Empire
http://www.wikidata.org/entity/Q55265,Star Wars: Yoda Stories
http://www.wikidata.org/entity/Q55272,Star Wars Galaxies
http://www.wikidata.org/entity/Q55287,Star Wars: Dark Forces
http://www.wikidata.org/entity/Q55291,Star Wars Jedi Knight: Dark Forces II
http://www.wikidata.org/entity/Q55295,Star Wars Jedi Knight: Jedi Academy
http://www.wikidata.org/entity/Q55298,Star Wars Jedi Knight II: Jedi Outcast
http://www.wikidata.org/entity/Q55312,Star Wars: TIE Fighter
http://www.wikidata.org/entity/Q55313,Star Wars: X-Wing Alliance
http://www.wikidata.org/entity/Q55314,Star Wars: X-Wing vs. TIE Fighter
http://www.wikidata.org/entity/Q55315,Star Wars: Empire at War
http://www.wikidata.org/entity/Q55532,1942
http://www.wikidata.org/entity/Q55533,Saboteur II: Avenging Angel
http://www.wikidata.org/entity/Q55534,Cyclone
http://www.wikidata.org/entity/Q55535,1943: The Battle of Midway
http://www.wikidata.org/entity/Q55536,10th Frame
http://www.wikidata.org/entity/Q55537,180
http://www.wikidata.org/entity/Q55538,007: Licence to Kill
http://www.wikidata.org/entity/Q55555,19 Part One: Boot Camp
http://www.wikidata.org/entity/Q55561,3D Construction Kit
http://www.wikidata.org/entity/Q55562,Deathchase
http://www.wikidata.org/entity/Q55563,3D Knockout
http://www.wikidata.org/entity/Q55565,3-D Monster Chase
http://www.wikidata.org/entity/Q55566,3D Tanx
http://www.wikidata.org/entity/Q55587,3D Tunnel
http://www.wikidata.org/entity/Q55605,Boulder Dash
http://www.wikidata.org/entity/Q55607,Bonanza Bros.
http://www.wikidata.org/entity/Q55608,Atic Atac
http://www.wikidata.org/entity/Q55610,Athena
http://www.wikidata.org/entity/Q55611,Army Moves
http://www.wikidata.org/entity/Q55616,Battlezone
http://www.wikidata.org/entity/Q55620,Bionic Commando
http://www.wikidata.org/entity/Q55622,Bionic Commando
http://www.wikidata.org/entity/Q55668,Nether Earth
http://www.wikidata.org/entity/Q55670,Quazatron
http://www.wikidata.org/entity/Q55673,R-Type
http://www.wikidata.org/entity/Q55675,The Trap Door
http://www.wikidata.org/entity/Q55676,Sherlock
http://www.wikidata.org/entity/Q55815,Elite
http://www.wikidata.org/entity/Q55817,Alchemist
http://www.wikidata.org/entity/Q56879,Syobon Action
http://www.wikidata.org/entity/Q56939,Mega Man X: Command Mission
http://www.wikidata.org/entity/Q57270,BioShock
http://www.wikidata.org/entity/Q57622,All or Nothing
http://www.wikidata.org/entity/Q57631,Angler
http://www.wikidata.org/entity/Q57639,Avalon The 3D Adventure Movie
http://www.wikidata.org/entity/Q57644,Back to Skool
http://www.wikidata.org/entity/Q59154,Mafia II
http://www.wikidata.org/entity/Q60102,Fallout
http://www.wikidata.org/entity/Q63064,NationStates
http://www.wikidata.org/entity/Q63266,SimIsle
http://www.wikidata.org/entity/Q63352,Ingress
http://www.wikidata.org/entity/Q71910,Tetris
http://www.wikidata.org/entity/Q71932,Call of Duty: Black Ops: Declassified
http://www.wikidata.org/entity/Q71936,Wii Sports
http://www.wikidata.org/entity/Q73289,Himawari no Kyōkai to Nagai Natsuyasumi
http://www.wikidata.org/entity/Q74061,Star Wars: Rebel Assault II: The Hidden Empire
http://www.wikidata.org/entity/Q74245,GetAmped
http://www.wikidata.org/entity/Q74401,Indiana Jones and the Fate of Atlantis
http://www.wikidata.org/entity/Q74539,Star Wars: The Force Unleashed II
http://www.wikidata.org/entity/Q74545,Lego Batman: The Videogame
http://www.wikidata.org/entity/Q74630,Lego Indiana Jones: The Original Adventures
http://www.wikidata.org/entity/Q74669,Star Wars Knights of the Old Republic II: The Sith Lords
http://www.wikidata.org/entity/Q74683,Lego Indiana Jones 2: The Adventure Continues
http://www.wikidata.org/entity/Q76255,Call of Duty 4: Modern Warfare
http://www.wikidata.org/entity/Q76763,CityVille 2
http://www.wikidata.org/entity/Q76794,CityVille
http://www.wikidata.org/entity/Q76868,Assassin's Creed III: Liberation
http://www.wikidata.org/entity/Q77596,Picopict
http://www.wikidata.org/entity/Q80402,FishVille
http://www.wikidata.org/entity/Q81288,Dragon Quest III
